Chromosome,Start,End,GeneID,Description,Strand
chr0,148163,154952,Niat3g_60052,Homeobox protein knotted-1-like 1,-
chr0,207778,209186,Niat3g_60053,"Endo-1,4-beta-xylanase 1",-
chr0,210044,213183,Niat3g_60054,GH10 domain-containing protein,-
chr0,229162,233929,Niat3g_60055,"endo-1,4-beta-xylanase A-like",-
chr0,265743,265977,Niat3g_60060,Integrase catalytic domain-containing protein,-
chr0,336386,342920,Niat3g_60073,DUF676 domain-containing protein,+
chr0,345341,346115,Niat3g_60074,Epidermal patterning factor-like protein 2,+
chr0,358400,359351,Niat3g_60076,Long chain acyl-CoA synthetase 4-like,+
chr0,425334,427024,Niat3g_60080,Protein of unknown function (DUF1005),-
chr0,464796,465126,Niat3g_60083,"50s ribosomal protein 6, chloroplastic",+
chr0,466456,473792,Niat3g_60084,Inositol-tetrakisphosphate 1-kinase,-
chr0,482554,482956,Niat3g_60086,Unknown protein,-
chr0,552997,553318,Niat3g_60092,Unknown protein,-
chr0,557378,557678,Niat3g_60093,Unknown protein,+
chr0,559121,561082,Niat3g_60094,Poly [ADP-ribose] polymerase,-
chr0,589574,592921,Niat3g_60101,Unknown protein,-
chr0,621935,625655,Niat3g_60103,Kh domain-containing protein hen4,+
chr0,627553,632713,Niat3g_60104,Amino acid permease 6,-
chr0,829542,829848,Niat3g_60132,Unknown protein,-
chr0,884493,889637,Niat3g_60139,xylulose kinase-like,+
chr0,891819,900663,Niat3g_60140,xylulose kinase-like isoform X1,+
chr0,900960,903459,Niat3g_60141,Tubulin alpha chain,-
chr0,1036257,1036707,Niat3g_60152,Unknown protein,-
chr0,1091017,1094277,Niat3g_60158,Receptor-like protein kinase,-
chr0,1209427,1211759,Niat3g_60172,RBR-type E3 ubiquitin transferase,-
chr0,1250953,1254646,Niat3g_60173,Receptor-like protein kinase haiku2,-
chr0,1561422,1561940,Niat3g_60176,chitinase 2-like,-
chr0,1693483,1697641,Niat3g_60177,DUF1985 domain-containing protein,-
chr0,1697576,1699577,Niat3g_60178,DOG1 domain-containing protein,-
chr0,1850717,1861377,Niat3g_60179,Sucrose transport protein suc4,+
chr0,1866853,1868816,Niat3g_60180,Protein DETOXIFICATION,+
chr0,2015604,2020602,Niat3g_60182,Glycosyltransferases,+
chr0,2022481,2055949,Niat3g_60183,symplekin,-
chr0,2151464,2152970,Niat3g_60184,Ubiquitin-fold modifier-conjugating enzyme 1,+
chr0,2171588,2176747,Niat3g_60186,Phosphoenolpyruvate carboxykinase,-
chr0,2192546,2192813,Niat3g_60188,Unknown protein,-
chr0,2232523,2235383,Niat3g_60195,Glutamyl-tRNA reductase,+
chr0,2281916,2284940,Niat3g_60201,Cdk-activating kinase assembly factor,-
chr0,2378516,2382364,Niat3g_60206,Auxin-responsive protein,-
chr0,2501827,2504688,Niat3g_60207,Basic helix-loop-helix transcription factor,-
chr0,2812072,2820343,Niat3g_60210,Phosphoglycerate mutase-like protein,+
chr0,2820706,2821312,Niat3g_60212,senescence-specific cysteine protease SAG39-like,-
chr0,2927721,2929165,Niat3g_60215,PB1 domain-containing protein,+
chr0,2963280,2963997,Niat3g_60216,"Acetyl-coenzyme A carboxylase carboxyl transferase subunit beta, chloroplastic",-
chr0,3062470,3069484,Niat3g_60217,CBL-interacting serine/threonine-protein kinase 8,+
chr0,3070757,3073540,Niat3g_60218,Pentatricopeptide repeat-containing protein,-
chr0,3108701,3109012,Niat3g_60221,Unknown protein,-
chr0,3157814,3162859,Niat3g_60223,Serine hydroxymethyltransferase,-
chr0,3289522,3291494,Niat3g_60227,mucin-17-like isoform X1,+
chr0,3295396,3295903,Niat3g_60228,L-type lectin-domain containing receptor kinase s.4,+
chr0,3297236,3299563,Niat3g_60229,Oligopeptide transporter like,+
chr0,3332523,3335002,Niat3g_60231,Oligopeptide transporter like,+
chr0,3335550,3336767,Niat3g_60232,Oligopeptide transporter like,-
chr0,3336784,3338683,Niat3g_60233,Oligopeptide transporter 2,-
chr0,3368663,3372108,Niat3g_60235,Oligopeptide transporter 2,-
chr0,3634970,3640898,Niat3g_60239,Rhamnogalacturonate lyase,-
chr0,3890266,3896045,Niat3g_60244,Rhamnogalacturonate lyase B-like protein,-
chr0,3940409,3942775,Niat3g_60245,Rhamnogalacturonate lyase,-
chr0,4147571,4152601,Niat3g_60247,TRAF-type zinc finger domain-containing protein 1-like,-
chr0,4183982,4184315,Niat3g_60249,Unknown protein,+
chr0,4257162,4257474,Niat3g_60251,Integrase catalytic domain-containing protein,+
chr0,4320000,4320504,Niat3g_60255,RNase H domain-containing protein,+
chr0,4388727,4398214,Niat3g_60259,Unknown protein,-
chr0,4457345,4457936,Niat3g_60261,Unknown protein,-
chr0,4471684,4471969,Niat3g_60264,Unknown protein,-
chr0,4517222,4517546,Niat3g_60268,Unknown protein,-
chr0,4527377,4527659,Niat3g_60270,Unknown protein,-
chr0,4529793,4540461,Niat3g_60271,J domain-containing protein,+
chr0,4713972,4714314,Niat3g_60291,Protein kinase domain-containing protein,+
chr0,4715680,4723397,Niat3g_60292,GATA transcription factor,+
chr0,4755924,4756209,Niat3g_60299,TF-B3 domain-containing protein,-
chr0,4770607,4771470,Niat3g_60300,TF-B3 domain-containing protein,+
chr0,4792752,4793224,Niat3g_60303,"Polyphenol oxidase e, chloroplastic",+
chr0,4814357,4814847,Niat3g_60308,Polypepetide with reverse transcriptase and RNaseH domains,-
chr0,4814753,4819618,Niat3g_60309,Retrovirus-related Pol polyprotein from transposon RE2,-
chr0,4823269,4824022,Niat3g_60310,Retrovirus-related pol polyprotein from transposon tnt 1-94,-
chr0,4839038,4839608,Niat3g_60312,Unknown protein,-
chr0,4841184,4847632,Niat3g_60313,Unknown protein,-
chr0,4860166,4860463,Niat3g_60315,Transposon Ty3-G Gag-Pol polyprotein,+
chr0,4926766,4927003,Niat3g_60321,Unknown protein,-
chr0,5035901,5036882,Niat3g_60331,Dimer_Tnp_hAT domain-containing protein,+
chr0,5048196,5048851,Niat3g_60333,Unknown protein,+
chr0,5083033,5099253,Niat3g_60335,E3 ubiquitin-protein ligase UPL2-like,+
chr0,5128981,5129641,Niat3g_60337,Unknown protein,-
chr0,5133625,5147768,Niat3g_60341,transcription initiation factor TFIID subunit 7-like,-
chr0,5151823,5170012,Niat3g_60342,CRT-like domain-containing protein,+
chr0,5165579,5166240,Niat3g_60343,Retrovirus-related Pol polyprotein from transposon TNT 1-94,-
chr0,5189218,5189446,Niat3g_60346,Unknown protein,-
chr0,5230876,5272857,Niat3g_60350,Fmp27_GFWDK domain-containing protein,+
chr0,5287320,5306805,Niat3g_60351,Unknown protein,+
chr0,5308988,5314400,Niat3g_60352,GATA transcription factor,-
chr0,5317841,5318824,Niat3g_60353,UBA domain-containing protein,+
chr0,5359712,5360487,Niat3g_60358,protein SABRE-like,+
chr0,5464084,5465186,Niat3g_60360,"Gag-pol polyprotein, putative",+
chr0,5504677,5507873,Niat3g_60361,Transcription factor org3,+
chr0,5577722,5578885,Niat3g_60362,Integrase catalytic domain-containing protein,+
chr0,5617867,5619030,Niat3g_60363,Integrase catalytic domain-containing protein,+
chr0,5655526,5655883,Niat3g_60368,Unknown protein,-
chr0,5787918,5790381,Niat3g_60378,Unknown protein,-
chr0,5792495,5796597,Niat3g_60379,Unknown protein,-
chr0,5833874,5836150,Niat3g_60381,Unknown protein,-
chr0,5849248,5849500,Niat3g_60383,Unknown protein,-
chr0,5870881,5875811,Niat3g_60385,Unknown protein,-
chr0,6204191,6204428,Niat3g_60413,Unknown protein,-
chr0,6216705,6217188,Niat3g_60414,"myosin-2 heavy chain, non muscle-like",-
chr0,6231304,6235404,Niat3g_60415,VIN3-like protein 2,+
chr0,6236516,6239068,Niat3g_60416,Unknown protein,-
chr0,6236656,6236884,Niat3g_60417,translation initiation factor IF-2-like isoform X2,-
chr0,6239364,6243180,Niat3g_60418,Double-stranded rna-binding protein 1,+
chr0,6245409,6253416,Niat3g_60419,Geranylgeranyl transferase type-2 subunit alpha 1,+
chr0,6253752,6254091,Niat3g_60420,Unknown protein,-
chr0,6297481,6297766,Niat3g_60424,Histone-lysine N-methyltransferase,-
chr0,6373945,6374413,Niat3g_60433,TPR_REGION domain-containing protein,-
chr0,6478064,6486013,Niat3g_60442,Protein kinase domain-containing protein,-
chr0,6801035,6801518,Niat3g_60445,B2 protein-like isoform X2,+
chr0,6820698,6823637,Niat3g_60449,Unknown protein,+
chr0,6922198,6971318,Niat3g_60450,BEACH domain-containing protein B,+
chr0,6999314,7009573,Niat3g_60451,Gata transcription factor 25,+
chr0,7311086,7311425,Niat3g_60456,Unknown protein,-
chr0,7634347,7635000,Niat3g_60460,F-box/LRR-repeat protein At1g55660-like,-
chr0,7635870,7639841,Niat3g_60461,Tudor domain-containing protein,+
chr0,7978698,7985451,Niat3g_60466,NADPH--cytochrome P450 reductase,+
chr0,7990621,7993285,Niat3g_60467,"Pentatricopeptide repeat-containing protein At2g27800, mitochondrial",+
chr0,8003725,8010133,Niat3g_60470,HTH myb-type domain-containing protein,+
chr0,8011027,8019316,Niat3g_60471,Protein networked 2a,-
chr0,8020602,8023887,Niat3g_60472,Unknown protein,-
chr0,8029973,8045400,Niat3g_60473,"argininosuccinate lyase, chloroplastic",+
chr0,8046098,8056635,Niat3g_60474,kinesin-like protein BC2,-
chr0,8118226,8118700,Niat3g_60476,Copper transporter 1,-
chr0,8130392,8138041,Niat3g_60478,"mechanosensitive ion channel protein 3, chloroplastic-like isoform X1",+
chr0,8132669,8133803,Niat3g_60479,ion channel CASTOR-like,-
chr0,8138850,8142808,Niat3g_60480,O-fucosyltransferase 31,-
chr0,8144578,8156574,Niat3g_60481,Mads-box protein svp,-
chr0,8279640,8280756,Niat3g_60486,homeobox protein Hox-A10,+
chr0,8344044,8347896,Niat3g_60487,Small GTPase superfamily,-
chr0,8379586,8381741,Niat3g_60488,protein FAM133A-like,+
chr0,8476009,8486528,Niat3g_60492,Unknown protein,+
chr0,8488240,8488656,Niat3g_60494,Unknown protein,-
chr0,8489225,8489468,Niat3g_60495,Unknown protein,+
chr0,8490164,8490617,Niat3g_60497,Unknown protein,+
